user_key,eval_number,flag_name,served_variation
fef4ed0b-f49b-43c6-b45d-cb0ead7820f4,0,fun-flag-2,false
b93e4138-4e91-41ba-9df9-5985990bdd2d,1,fun-flag-2,false
0ef643ac-5fae-4088-82d1-1ac6d8c0f27a,2,fun-flag-2,true
c3b986de-55d6-4a5d-80e1-ca0614aa83c0,3,fun-flag-2,true
ca11a1fb-0fb4-45bb-b3d1-6ffd0c0f9462,4,fun-flag-2,true
cfa38e9b-afb1-4110-9f7c-88ba0ff6adfd,5,fun-flag-2,false
95e8782a-4bb1-43d8-a160-b10e2ba4dd89,6,fun-flag-2,false
ab4109fe-00bd-4c18-927d-a00eead82e4a,7,fun-flag-2,true
affc2750-38f6-4a7c-88c2-f6c8a9036fc7,8,fun-flag-2,false
1b5ac745-f78a-4de3-a72a-6762e1742ef5,9,fun-flag-2,true
ffb6fbac-200d-4dd1-8e1b-bdc0cebba017,10,fun-flag-2,false
9da290cf-cc85-47ce-b4c5-807f987b3d5a,11,fun-flag-2,true
d2335b26-643e-4690-9282-efa3e36a9a1e,12,fun-flag-2,true
bb65b5d0-4f68-4eb5-ad5a-cd375288e2b7,13,fun-flag-2,true
0c57e1c7-ca7b-417b-aab8-7827aa33ddf2,14,fun-flag-2,false
270bcb03-5d81-4ccd-8437-4f383f709922,15,fun-flag-2,false
7eebb90c-86a4-4fd6-bc54-75c1bc654d0b,16,fun-flag-2,true
98d64318-0209-4cbd-92a1-0985c3d686bd,17,fun-flag-2,true
5065285a-5f34-4030-9c51-65908ff8525c,18,fun-flag-2,false
a687214f-adc2-46f8-b301-ba957a636645,19,fun-flag-2,true
8cd35713-7aee-4893-920f-154dda10696c,20,fun-flag-2,false
3b56aae9-a185-4323-9808-6743a9b37545,21,fun-flag-2,false
97db14e6-ee91-4f0d-ace5-87b5e770e1fc,22,fun-flag-2,true
1c1120c6-6265-4044-9e85-cf597ada0fe7,23,fun-flag-2,false
a65f7cfa-fd86-4835-af6f-e5731078ce00,24,fun-flag-2,true
3eec5136-cb1c-4df8-b4d5-afe205a9121b,25,fun-flag-2,true
77ab2e04-0ca1-4465-95cf-f524595b946e,26,fun-flag-2,false
1542dc42-6745-4318-90b2-b1711e10cec9,27,fun-flag-2,true
2b692f6b-3167-42e3-86e5-dbee87aecb6a,28,fun-flag-2,true
4b2af2d3-849d-4c31-b086-1926359ad00e,29,fun-flag-2,true
e78d09c9-8e2f-41de-b6f1-ff4860335e94,30,fun-flag-2,false
36770002-5e27-4e0e-af6d-3956fc3bc12c,31,fun-flag-2,true
e0b76b37-bb78-48ca-a353-30232343e6a4,32,fun-flag-2,false
